Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11818
Completed Trials,417
Pruned Trials,11401
Best Trial Number,8846
Best Value,10381.4264
Optimization Time,300m 12s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,St L Max D,St S Max D,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
SMA,50,5,5,1.3,3,1.0,2,7.0,4.0,4,2,T3,200,0.0,T3,50,1.0,1289.68%,38.56%,269,58.69,33.44,1.83,1.78,4.96,33.44,100.00
T3,50,4,6,1.1,2,1.8,2,3.0,8.0,2,3,T3,200,0.0,T3,50,0.5,1286.01%,26.23%,257,68.48,49.03,2.04,1.75,4.54,49.03,100.00
ALMA,25,6,9,1.0,2,1.3,2,5.0,3.0,3,4,T3,200,0.0,T3,75,0.0,1283.45%,35.81%,309,40.64,35.84,1.59,1.50,5.39,35.84,83.33
ALMA,25,4,7,1.0,2,1.6,3,5.0,5.0,3,3,T3,200,0.0,T3,25,0.5,1282.71%,29.89%,353,29.32,42.91,1.09,1.41,6.91,42.91,83.33
ALMA,75,10,7,1.2,2,1.2,2,7.0,5.0,6,6,T3,200,0.0,T3,25,1.0,1280.05%,26.03%,253,72.64,49.17,2.26,1.84,4.31,49.17,100.00
DEMA,75,9,6,1.1,4,1.2,2,7.0,6.0,7,5,T3,175,0.0,T3,25,0.0,1277.30%,23.53%,279,78.73,54.29,2.94,1.72,3.13,54.29,100.00
WMA,25,8,5,1.3,2,1.1,3,5.0,6.0,6,7,T3,200,-0.5,T3,100,0.0,1275.54%,26.49%,249,68.85,48.16,1.71,1.68,3.44,48.16,100.00
WMA,25,5,7,1.0,2,1.7,2,4.0,5.0,4,2,T3,200,0.0,T3,25,0.5,1272.83%,38.31%,373,38.41,33.22,1.49,1.43,5.57,33.22,100.00
ALMA,75,7,2,1.3,2,1.6,4,8.0,3.0,7,6,T3,200,0.0,T3,75,0.0,1267.14%,15.53%,258,85.44,81.58,1.77,2.09,2.66,81.58,100.00
ALMA,125,6,2,1.1,2,1.0,5,3.0,9.0,4,5,T3,200,0.0,T3,25,0.0,1254.90%,24.56%,258,71.59,51.10,1.71,1.92,3.63,51.10,83.33
DEMA,25,5,2,1.0,2,1.9,2,4.0,4.0,4,5,T3,200,0.0,T3,50,0.5,1251.98%,23.71%,326,61.03,52.80,1.26,1.73,4.28,52.80,100.00
TMA,25,8,4,1.1,3,1.1,2,9.0,8.0,2,7,T3,200,0.0,T3,75,0.0,1248.12%,21.77%,331,76.34,57.33,2.98,1.70,3.73,57.33,100.00
